,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
93,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,H,1,,26,J,498,378,5250000,2020-09-08,2012-11-08,3700000,41.89,22.350234,114.0599035
94,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 18,2002-08-07,L,2,,1,C,669,512,5300000,2020-09-01,2008-03-17,1900000,178.95000000000002,22.351043999999998,114.060254
95,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,L,1,,2,D,498,378,4600000,2020-08-31,2010-11-30,2100000,119.05,22.350234,114.0599035
96,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 25,2004-11-12,M,2,,16,G,676,532,5980000,2020-08-28,2014-03-31,4150000,44.1,22.3531194,114.06043
97,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 8,2002-08-07,M,3,,13,D,1027,794,9150000,2020-08-27,2006-09-07,1800000,408.33,22.352532,114.0615209
98,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 6,2002-08-07,H,3,,13,D,1075,831,10500000,2020-08-27,2009-08-18,4985000,110.63,22.353023,114.0621146
99,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 2,2002-08-07,M,3,,17,D,816,630,7068000,2020-08-27,2005-01-27,3200000,120.88,22.353865,114.062104
100,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 3,2002-08-07,L,3,,5,B,1001,781,9200000,2020-08-26,2009-05-18,3800000,142.11,22.3536435,114.062419
101,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 12,2002-08-07,M,3,,15,D,1042,807,9998000,2020-08-26,2009-09-18,4850000,106.14,22.3512462,114.0609784
102,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,H,1,,21,I,488,360,5300000,2020-08-26,2016-04-20,4150000,27.71,22.350234,114.0599035
103,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 31,2006-06-28,M,2,,17,C,735,575,7150000,2020-08-25,2006-09-18,2707500,164.08,22.3538806,114.060371
