,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
193,FLAT F25 2/F LUEN HOP BUILDING  ,55,23/10/2020,2,228,-,8772,-,-,
194,FLAT J 36/F BLOCK 5 PHASE 2 KINGSFORD TERRACE,17,22/10/2020,6.15,484,568,12707,10827,-,
195,FLAT C 32/F TOWER 5A LIONS RISE ,8,22/10/2020,9.98,567,734,17601,13597,3445,25
196,FLAT 3 32/F TAK WA HOUSE (BLOCK B) TAK KEUNG COURT ,19,22/10/2020,5.7,404,509,14109,11198,-,
197,FLAT B 19/F TOWER 2 ARIA KOWLOON PEAK ,10,22/10/2020,17.5,1160,1470,15086,11905,3767,25
198,FLAT B 3/F THE PRINCE PLACE  ,8,22/10/2020,8.98,441,649,20363,13837,3047,-1
199,FLAT D 32/F BLOCK 5 PHASE 2 KINGSFORD TERRACE,17,22/10/2020,5.5,484,568,11364,9683,-,
200,FLAT G 23/F TOWER 3 GRAND VIEW GARDEN ,21,22/10/2020,5.95,572,670,10402,8881,-,
201,FLAT C 32/F TOWER 3B LIONS RISE ,8,22/10/2020,9.65,521,676,18522,14275,1539,31
202,FLAT H 48/F THE FOREST HILLS  ,12,22/10/2020,7.51,439,625,17107,12016,3998,119
203,FLAT A 21/F REGENT ON THE HILL  ,20,22/10/2020,10,675,932,14815,10730,7822,138
204,FLAT 9 5/F FU YUE HOUSE (BLOCK A) FU KEUNG COURT ,29,21/10/2020,6.2,645,845,9612,7337,-,
205,FLAT B 18/F 1 LION ROCK ROAD  ,18,21/10/2020,6.57,325,463,20200,14179,3602,110
206,FLAT 9 5/F CHUN HONG HOUSE (BLOCK E) TIN MA COURT ,34,21/10/2020,4.8,363,495,13223,9697,-,
207,FLAT 2 40/F TOWER C GALAXIA ,22,21/10/2020,9.88,517,656,19110,15061,8015,188
208,FLAT 8 23/F LUNG HONG HOUSE (BLOCK 15) LOWER WONG TAI SIN (1) ESTATE ,30,21/10/2020,4,377,-,10610,-,-,
209,FLAT B 3/F HUNG FUK HOUSE  ,34,21/10/2020,3.03,255,-,11882,-,1000,-1
210,FLAT A 20/F DRAGON GLORY MANSION  ,27,21/10/2020,4,220,355,18182,11268,3365,156
211,FLAT A 18/F BLOCK 1 THE VISTA ,21,20/10/2020,5.3,302,439,17550,12073,5636,358
212,FLAT 10 (NO. 49 FRONT) 6/F ON FOOK BUILDING  ,57,20/10/2020,3,431,-,6961,-,-,
213,FLAT 1 38/F OI FU HOUSE (BLOCK G) STAGE 3 TSZ OI COURT,20,20/10/2020,8.3,650,851,12769,9753,-,
214,FLAT 3 29/F TAK YIN HOUSE (BLOCK A) TAK KEUNG COURT ,19,19/10/2020,5.69,404,509,14084,11179,-,
215,FLAT K 12/F BLOCK 10 RHYTHM GARDEN ,20,19/10/2020,5.68,452,531,12566,10697,-,
216,FLAT 8 32/F TOWER C GALAXIA ,22,19/10/2020,9.36,517,656,18104,14268,5659,217
217,FLAT E 24/F BLOCK 2 BEL AIR HEIGHTS ,21,19/10/2020,9.8,657,826,14916,11864,-,
218,NO. 20 5/F CHOI HUNG BUILDING   (with roof),56,19/10/2020,5.25,636,-,8255,-,7085,790
219,FLAT E 17/F BLOCK 2 BEL AIR HEIGHTS ,21,19/10/2020,9.99,657,826,15202,12092,-,
220,FLAT H 8/F ON LEE BUILDING  ,50,16/10/2020,5,399,-,12531,-,2758,54
221,FLAT 1 13/F OI CHEUNG HOUSE (BLOCK M) STAGE 3 TSZ OI COURT,20,16/10/2020,6.7,650,851,10308,7873,-,
222,FLAT A 2/F FUK LUEN BUILDING  ,31,16/10/2020,3.9,311,375,12540,10400,3418,70
223,FLAT 14 18/F CHUN HONG HOUSE (BLOCK E) TIN MA COURT ,34,16/10/2020,5.67,415,567,13663,10000,-,
224,FLAT 6 28/F TOWER E GALAXIA ,22,16/10/2020,9.85,593,751,16610,13116,1082,19
225,FLAT B 2/F BLOCK 1 BEL AIR HEIGHTS ,21,16/10/2020,7.2,449,570,16036,12632,-,
226,FLAT A 32/F PRINCE RITZ  ,12,16/10/2020,14,828,1144,16908,12238,4688,67
227,FLAT H39 4/F LUEN HOP BUILDING  ,55,15/10/2020,2.28,302,-,7550,-,-,
228,FLAT 9 36/F TOWER A GALAXIA ,22,15/10/2020,10.58,593,761,17841,13903,6425,392
229,FLAT 4 18/F KA YING HOUSE (BLOCK B) KA KEUNG COURT ,20,15/10/2020,7.45,645,798,11550,9336,-,
