,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
654,FLAT B 3/F BLOCK 2 PHASE 9 LA SERENE DISCOVERY BAY,20,30/4/2019,12.1,1012,1188,11957,10185,3632,102
655,FLAT D 23/F NEO HORIZON II  (BLOCK II) PHASE 10 NEO HORIZON  DISCOVERY BAY,20,30/4/2019,6.8,578,752,11765,9043,3432,141
656,FLAT F 15/F VERDANT COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,29/4/2019,8.4,757,891,11096,9428,5048,171
657,FLAT B G/F 9 CAPERIDGE DRIVE PH 4-PENINSULA VL CAPERIDGE DISCOVERY BAY,29,29/4/2019,13.95,1158,1282,12047,10881,2373,1
658,FLAT B 3/F GREENFIELD COURT (BLOCK 3) PH 5-GREENVALE VILLAGE DISCOVERY BAY,30,26/4/2019,4.35,439,517,9909,8414,2948,74
659,FLAT E 8/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,26/4/2019,10.9,717,-,15202,-,-,-
660,FLAT D 8/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,26/4/2019,7.04,412,-,17087,-,-,-
661,FLAT E 5-6/F BLOCK L8 PHASE 15 POSITANO DISCOVERY BAY,9,26/4/2019,22.08,1396,-,15817,-,1746,12
662,FLAT B 15/F AMALFI THREE PHASE 14 AMALFI DISCOVERY BAY,9,25/4/2019,6.3,527,661,11954,9531,2359,31
663,NO. 8 NO. 8 8 SEABEE LANE PH 3-HEADLAND VIL.SEABEE LANE DISCOVERY BAY,32,25/4/2019,24.9,1406,-,17710,-,7786,113
664,FLAT B 5/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,25/4/2019,23.79,1379,-,17250,-,-,-
665,FLAT F 14/F MOUNTAIN VIEW PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,25/4/2019,4.98,440,530,11318,9396,1256,26
666,FLAT E 22/F GRACEFUL MANSION (BLOCK H2) PHASE 12 SIENA TWO DISCOVERY BAY,18,25/4/2019,5.7,447,602,12752,9468,1353,19
667,FLAT B 14/F GREENBURG COURT (BLOCK 2) PH 5-GREENVALE VILLAGE DISCOVERY BAY,30,24/4/2019,4.8,439,517,10934,9284,8333,170
668,FLAT F 5/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,24/4/2019,5.11,350,-,14600,-,-,-
669,FLAT C 8/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,24/4/2019,14.7,881,-,16686,-,-,-
670,FLAT D 6/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,24/4/2019,7.07,412,-,17155,-,-,-
671,FLAT C 3/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,24/4/2019,13.3,881,-,15100,-,-,-
672,FLAT A 5/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,24/4/2019,15.18,1019,-,14897,-,-,-
673,FLAT H 8/F HAVEN COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,23/4/2019,6,610,724,9836,8287,6996,161
674,FLAT C 2/F BLOCK 46 PHASE 12 SIENA TWO DISCOVERY BAY,18,18/4/2019,5.68,442,565,12851,10053,6049,329
675,FLAT E 1/F CHERISH COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,28,18/4/2019,5.75,545,628,10550,9156,6751,207
676,FLAT C 3/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,18/4/2019,9.8,715,-,13706,-,-,-
677,FLAT B 8/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,18/4/2019,22.88,1379,-,16592,-,-,-
678,FLAT F 12/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,18/4/2019,5.37,350,-,15337,-,-,-
679,FLAT B NO. 9 9 MIDDLE LANE PH 2-MIDVALE VILLAGE DISCOVERY BAY,34,17/4/2019,23,1520,1616,15132,14233,5453,147
680,FLAT D 18/F BRILLIANCE COURT PH 3-HILLGROVE VILLAGE DISCOVERY BAY,32,17/4/2019,7.05,591,-,11929,-,1300,28
681,FLAT D 9/F WOODBURY COURT PH 3-PARKVALE VILLAGE DISCOVERY BAY,32,16/4/2019,7.48,769,895,9727,8358,3842,123
682,FLAT C 23/F NEO HORIZON II  (BLOCK II) PHASE 10 NEO HORIZON  DISCOVERY BAY,20,16/4/2019,7.05,629,812,11208,8682,2395,53
683,FLAT C 7/F JOVIAL COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,16/4/2019,7.25,771,903,9403,8029,1574,29
684,FLAT E 16/F AMALFI THREE PHASE 14 AMALFI DISCOVERY BAY,9,16/4/2019,11,714,908,15406,12115,1196,22
685,FLAT A 3/F BLOCK 8 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/4/2019,17.47,1200,-,14558,-,-,-
686,FLAT F 1/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/4/2019,5,344,-,14535,-,-,-
687,FLAT A 7/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/4/2019,17,1019,-,16683,-,-,-
688,FLAT A 3/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/4/2019,14.28,1019,-,14014,-,-,-
689,FLAT D 3/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/4/2019,6.73,412,-,16331,-,-,-
690,FLAT F 3/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/4/2019,5.01,350,-,14300,-,-,-
691,FLAT D 10/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/4/2019,6.97,412,-,16913,-,-,-
692,FLAT B 10/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,16/4/2019,14.61,821,-,17800,-,-,-
