,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
922,FLAT C 11/F FU HO YUEN (BLOCK H-5) CHI FU FA YUEN ,42,21/10/2019,8.4,588,694,14286,12104,-,
923,FLAT B 11/F YEN SHING MANSION  ,32,21/10/2019,3.8,282,371,13475,10243,435,0
924,FLAT D 5/F 174-176 ABERDEEN MAIN ROAD  ,52,18/10/2019,3.2,283,-,11307,-,-,
925,FLAT 8 19/F BLOCK B AP LEI CHAU CENTRE ,37,18/10/2019,5.2,322,445,16149,11685,-,
926,FLAT D 25/F FU KAR YUEN (BLOCK H-15) CHI FU FA YUEN ,39,18/10/2019,6.9,439,518,15718,13320,5689,339
927,FLAT 4 19/F KONG HING COURT (BLOCK J) ABERDEEN CENTRE ,39,18/10/2019,7.8,559,668,13953,11677,-,
928,FLAT J 14/F JUMBO COURT  ,41,17/10/2019,6.28,413,494,15206,12713,3690,179
929,FLAT 7 8/F BLOCK A AP LEI CHAU CENTRE ,37,17/10/2019,6,386,523,15544,11472,6216,567
930,FLAT A 19/F WAH LEE BUILDING  ,42,17/10/2019,4.5,343,491,13120,9165,3291,200
931,FLAT 4 3/F MEI KWONG COURT (BLOCK P) ABERDEEN CENTRE ,39,16/10/2019,7,576,689,12153,10160,-,
932,FLAT E 23/F FU HING YUEN (BLOCK H-20) CHI FU FA YUEN ,39,16/10/2019,6.4,439,518,14579,12355,8375,160
933,FLAT D 16/F PELENE MANSION  ,41,16/10/2019,4.28,279,383,15341,11175,3230,126
934,FLAT F 11/F BLOCK 1 BROADVIEW COURT ,19,15/10/2019,5.63,422,505,13341,11149,-,
935,FLAT 2 28/F NGAN ON HOUSE (BLOCK A) YUE ON COURT ,32,15/10/2019,6.55,469,575,13955,11383,-,
936,FLAT 1 33/F BLOCK B ABBA HOUSE ,37,15/10/2019,5.82,325,399,17908,14586,8568,293
937,FLAT 8 8/F PIK ON HOUSE (BLOCK C) YUE ON COURT ,32,11/10/2019,6,504,618,11905,9709,-,
938,FLAT G 17/F FU FAI YUEN (BLOCK H-2) CHI FU FA YUEN ,42,10/10/2019,9.08,588,694,15442,13084,8599,239
939,FLAT C 3/F PELENE MANSION  ,41,9/10/2019,4,282,391,14184,10230,3542,186
940,FLAT 4 26/F TSE ON HOUSE (BLOCK D) YUE ON COURT ,32,9/10/2019,7.21,493,604,14621,11934,-,
941,FLAT B 17/F TOWER 7 LARVOTTO ,10,9/10/2019,30.8,1377,1730,22367,17803,3337,26
942,FLAT A 12/F FU YI YUEN (BLOCK H-7) CHI FU FA YUEN ,42,9/10/2019,6,439,518,13667,11583,-,
