,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
1238,FLAT A 3/F BLOCK 2 PHASE 1 ROYAL ASCOT,25,29/4/2020,9.1,676,822,13462,11071,1176,17
1239,FLAT B 5/F TOWER 5 LA VETTA ,2,28/4/2020,64.8,2100,-,30857,-,-,-
1240,FLAT 10 40/F YUK WO COURT  ,0,28/4/2020,2.77,-,-,-,-,-,-
1241,FLAT A 12/F TOWER 7 PARC ROYALE ,25,27/4/2020,12.9,942,1203,13694,10723,2340,50
1242,FLAT 2 45/F YUK WO COURT  ,0,27/4/2020,2.8,-,-,-,-,-,-
1243,FLAT B 17/F COURT A TOWER 2 DRAGONS RANGE ,5,24/4/2020,7,467,-,14989,-,1737,-10
1244,FLAT 10 3/F YUK WO COURT  ,0,24/4/2020,2.41,-,-,-,-,-,-
1245,FLAT 17 29/F YUK WO COURT  ,0,24/4/2020,3.23,-,-,-,-,-,-
1246,FLAT 5 36/F YUK WO COURT  ,0,22/4/2020,2.62,-,-,-,-,-,-
1247,FLAT A 5/F HIBISCUS COURT (BLOCK 5) WORLD-WIDE GARDENS ,42,21/4/2020,13.8,1255,1443,10996,9563,1590,13
1248,FLAT B 19/F TOWER 12 PARC ROYALE ,25,20/4/2020,13.5,942,1221,14331,11057,2064,51
1249,FLAT 10 36/F YUK WO COURT  ,0,20/4/2020,2.75,-,-,-,-,-,-
1250,FLAT D 10/F BLOCK 11 THE PALAZZO ,12,17/4/2020,8.09,495,648,16343,12485,2772,54
1251,FLAT 10 43/F YUK WO COURT  ,0,17/4/2020,2.78,-,-,-,-,-,-
1252,HOUSE A21 NO. 68 HOUSE A21 LA VETTA ,2,16/4/2020,61.24,2147,-,28522,-,-,-
1253,FLAT 2 40/F YUK WO COURT  ,0,15/4/2020,2.81,-,-,-,-,-,-
1254,FLAT 2 18/F BLOCK C SCENERY GARDEN ,35,14/4/2020,5.1,408,522,12500,9770,4615,278
1255,FLAT 2 4/F BLOCK D SCENERY GARDEN ,36,14/4/2020,5.49,408,522,13451,10513,2681,67
1256,FLAT D 3/F COURT C TOWER 1 DRAGONS RANGE ,5,9/4/2020,8.38,657,-,12755,-,1961,4
1257,FLAT A 3/F BLOCK 27 GREENWOOD TERRACE ,33,9/4/2020,10,882,1052,11338,9506,8698,78
1258,FLAT A 7/F TOWER B THE GRANDVILLE ,14,8/4/2020,11.88,753,970,15777,12247,1413,37
1259,FLAT C 1/F COURT C TOWER 3 DRAGONS RANGE ,5,8/4/2020,15.6,967,-,16132,-,1731,23
1260,FLAT 17 41/F YUK WO COURT  ,0,8/4/2020,3.29,-,-,-,-,-,-
1261,FLAT C 17/F TOWER 6 PARC ROYALE ,25,6/4/2020,11,749,991,14686,11100,6595,293
1262,FLAT C2 2/F BLOCK C LOK LAM GARDEN ,35,3/4/2020,7.5,530,606,14151,12376,8327,90
1263,FLAT A 12/F BLOCK 6 JULIMOUNT GARDEN ,33,3/4/2020,20.5,1521,1872,13478,10951,5552,201
1264,FLAT A 1/F BLOCK 3 PRISTINE VILLA ,25,3/4/2020,10,812,985,12315,10152,4490,151
1265,FLAT E 10/F COURT D TOWER 2 DRAGONS RANGE ,5,2/4/2020,11.75,964,-,12189,-,1729,-6
1266,FLAT C 16/F TOWER 1 PARC ROYALE ,25,2/4/2020,12.1,752,996,16090,12149,1359,43
1267,FLAT D 25/F TOWER C THE GRANDVILLE ,14,2/4/2020,10,794,1008,12594,9921,1225,-2
1268,FLAT 2 35/F YUK WO COURT  ,0,1/4/2020,2.79,-,-,-,-,-,-
1269,FLAT C 6/F COURT C TOWER 2 DRAGONS RANGE ,5,31/3/2020,11.48,952,-,12059,-,1956,-4
1270,FLAT F 47/F BLOCK 11 PHASE 2 ROYAL ASCOT,24,31/3/2020,14.8,990,1129,14949,13109,4266,79
1271,FLAT B2 1/F WING 2 THE MET. ACAPPELLA  (with garden),2,31/3/2020,19.63,780,-,25172,-,-,-
1272,FLAT 1 38/F YUK WO COURT  ,0,30/3/2020,2.78,-,-,-,-,-,-
1273,FLAT 19 15/F YUK WO COURT  ,0,30/3/2020,2.82,-,-,-,-,-,-
1274,FLAT C2 4/F BLOCK C LOK LAM GARDEN  (with roof),35,27/3/2020,8.5,530,606,16038,14026,5088,233
1275,FLAT 17 17/F YUK WO COURT  ,0,27/3/2020,3.09,-,-,-,-,-,-
1276,FLAT A 5/F TOWER 5 LA VETTA ,2,26/3/2020,64.8,2100,-,30857,-,-,-
1277,FLAT C 23/F THE GARRISON  ,1,26/3/2020,6.28,261,-,24061,-,-,-
1278,FLAT F 26/F BLOCK 9 PHASE 2 ROYAL ASCOT,24,24/3/2020,12.5,974,1127,12834,11091,3759,61
1279,FLAT C9 1/F WING 2 THE MET. ACAPPELLA  (with garden),2,24/3/2020,11.85,507,-,23373,-,-,-
1280,FLAT 9 29/F YUK WO COURT  ,0,23/3/2020,2.68,-,-,-,-,-,-
1281,FLAT A 1/F BLOCK 11 WOODCREST HILL ,36,23/3/2020,12.6,936,1069,13462,11787,5476,265
1282,FLAT C6 1/F WING 2 THE MET. ACAPPELLA  (with garden),2,23/3/2020,11.9,516,-,23062,-,-,-
1283,FLAT B 26/F BLOCK 3 PHASE 1 ROYAL ASCOT,25,20/3/2020,8.8,594,715,14815,12308,3432,84
1284,FLAT F 12/F COURT A TOWER 2 DRAGONS RANGE ,5,20/3/2020,8.28,663,-,12489,-,1935,-2
1285,FLAT C 16/F BLOCK 9 PHASE 1 PEAK ONE,12,20/3/2020,14.68,857,1150,17130,12765,3801,88
1286,FLAT 2 8/F YUK WO COURT  ,0,19/3/2020,2.62,-,-,-,-,-,-
1287,FLAT 4 17/F BLOCK C SCENERY GARDEN ,35,17/3/2020,7.08,537,687,13184,10306,3546,151
1288,FLAT C2 1/F WING 2 THE MET. ACAPPELLA  (with garden),2,17/3/2020,16.78,799,-,21000,-,-,-
1289,FLAT C 38/F BLOCK 11 THE PALAZZO ,12,16/3/2020,9.5,537,686,17691,13848,3336,86
1290,FLAT 15 37/F YUK WO COURT  ,0,16/3/2020,3.24,-,-,-,-,-,-
1291,FLAT B 5/F BLOCK 4 PRISTINE VILLA ,25,12/3/2020,13.4,1066,1287,12570,10412,1274,22
1292,FLAT 15 3/F YUK WO COURT  ,0,12/3/2020,2.87,-,-,-,-,-,-
1293,FLAT 19 42/F YUK WO COURT  ,0,11/3/2020,2.95,-,-,-,-,-,-
1294,FLAT C10 1/F WING 2 THE MET. ACAPPELLA  (with garden),2,10/3/2020,12.65,524,-,24141,-,-,-
1295,FLAT B 7/F MOUNT VIENNA   (with roof),2,10/3/2020,88.56,2536,-,34921,-,-,-
1296,FLAT H 40/F BLOCK 10 PHASE 2 ROYAL ASCOT,24,5/3/2020,14.8,1039,1206,14244,12272,2319,33
1297,FLAT C 33/F BLOCK 1 PHASE 1 ROYAL ASCOT,25,4/3/2020,11.98,958,1128,12505,10621,5461,100
1298,FLAT E 36/F BLOCK 3 PHASE 1 ROYAL ASCOT,25,4/3/2020,20.88,1370,1620,15241,12889,7444,129
1299,FLAT 17 28/F YUK WO COURT  ,0,4/3/2020,3.22,-,-,-,-,-,-
1300,FLAT C 9/F BLOCK 11 PHASE 2 ROYAL ASCOT,24,27/2/2020,12.88,974,1127,13224,11429,1300,33
1301,FLAT C 28/F BLOCK 2 THE PALAZZO ,12,27/2/2020,11.05,696,892,15876,12388,4297,75
1302,FLAT B8 1/F WING 2 THE MET. ACAPPELLA  (with garden),2,27/2/2020,14.78,786,-,18800,-,-,-
1303,FLAT A 5/F COURT D TOWER 2 DRAGONS RANGE ,5,27/2/2020,34,1538,-,22107,-,1109,12
1304,HOUSE H36 NO. 68 HOUSE H36 LA VETTA ,2,25/2/2020,46.92,1921,-,24426,-,-,-
1305,FLAT 18 1/F YUK WO COURT  ,0,20/2/2020,2.74,-,-,-,-,-,-
1306,FLAT B 21/F RHINE HEIGHTS (BLOCK 4) SHATIN 33 ,36,19/2/2020,14.98,1296,1675,11559,8943,-,
1307,FLAT A 12/F LAUREL COURT (BLOCK 3A) WORLD-WIDE GARDENS ,40,17/2/2020,12.5,894,1025,13982,12195,4595,223
1308,FLAT A 6/F TOWER 2 LAKEVIEW GARDEN  (with roof),26,17/2/2020,9.3,1017,1274,9145,7300,4969,166
1309,FLAT 1 17/F MEI PAK COURT  ,0,14/2/2020,4.91,447,-,10984,-,-,
1310,FLAT 3 3/F BLOCK B SCENERY GARDEN ,35,14/2/2020,7.1,537,687,13222,10335,1099,37
1311,FLAT G 16/F COURT A TOWER 1 DRAGONS RANGE ,5,14/2/2020,8.4,665,-,12632,-,1895,7
1312,FLAT A 8/F TOWER 8 MOUNT REGALIA ,2,14/2/2020,40.73,1562,-,26076,-,-,-
1313,FLAT A 7/F TOWER 8 MOUNT REGALIA ,2,13/2/2020,36.6,1562,-,23431,-,-,-
1314,FLAT B 7/F TOWER 8 MOUNT REGALIA ,2,13/2/2020,37,1563,-,23672,-,-,-
1315,HOUSE 12 NO. 23 HOUSE 12 MOUNT REGALIA ,2,13/2/2020,116.96,3631,-,32212,-,-,-
1316,FLAT 16 38/F YUK WO COURT  ,0,13/2/2020,3.21,-,-,-,-,-,-
1317,FLAT A 8/F BLOCK 12 PRISTINE VILLA ,25,12/2/2020,11.5,817,978,14076,11759,3906,153
1318,FLAT 15 34/F YUK WO COURT  ,0,12/2/2020,3.22,-,-,-,-,-,-
1319,FLAT 5 43/F YUK WO COURT  ,0,12/2/2020,2.65,-,-,-,-,-,-
1320,FLAT D 8/F COURT C TOWER 1 DRAGONS RANGE ,5,11/2/2020,8.7,657,-,13242,-,1897,5
1321,FLAT D 23/F BLOCK 9 PHASE 1 PEAK ONE,12,11/2/2020,9.33,591,797,15787,11706,1240,8
1322,FLAT 9 32/F YUK WO COURT  ,0,7/2/2020,2.72,-,-,-,-,-,-
1323,FLAT 16 3/F YUK WO COURT  ,0,3/2/2020,2.84,-,-,-,-,-,-
1324,FLAT 15 13/F YUK WO COURT  ,0,3/2/2020,3.02,-,-,-,-,-,-
1325,FLAT H 38/F BLOCK 10 PHASE 2 ROYAL ASCOT,24,3/2/2020,15.23,1039,1206,14658,12629,7784,138
