,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
93,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Lung Cheung Court,Block 8,1969-04-14,H,,,5,6A,0,1204,17500000,2020-07-08,,0,0.0,22.34237,114.17963
94,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Inverness Villa,Block A,1977-01-22,L,3,,1,3,635,548,10300000,2020-07-07,2009-09-29,3900000,164.1,22.331194,114.185745
95,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Lilac Court,Lilac Court,1978-04-05,H,3,2,9,A,1100,1012,16780000,2020-07-06,2012-05-07,10500000,59.81,22.32754,114.18527
96,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Peninsula Heights,Block A,2000-03-22,M,,,10,5,1405,1101,22330000,2020-07-06,2004-09-20,8080000,176.36,22.343526999999998,114.18278
97,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Rockford Mansion & Clifford Mansion,Block B (Clifford Mansion),1978-08-15,L,,,2,E,0,546,9700000,2020-07-06,,0,0.0,22.3429,114.182699
98,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,The Bloomsville,The Bloomsville,2002-05-22,L,3,,11,C,1078,787,18800000,2020-07-06,2003-01-29,4850000,287.63,22.328941,114.18577
99,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Chermain Heights,Block 2,1969-10-22,M,3,2,8,D2,1050,758,12850000,2020-07-06,2005-04-06,1000000,1185.0,22.343735,114.17746
100,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,181-181C Boundary Street,181C Boundary Street,1957-09-16,,,,4,,1000,666,7380000,2020-06-30,,0,0.0,22.327413999999997,114.18579
101,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Phoenix Court,Block B,1977-10-18,M,3,,5,3,0,753,12500000,2020-06-26,,0,0.0,22.342283,114.18151
102,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Inverness Villa,Block A,1977-01-22,L,3,,2,4,635,548,9950000,2020-06-22,2012-04-05,5800000,71.55,22.331194,114.185745
103,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Welcome Gardens,Block 1,1971-11-24,L,3,2,3,A,900,698,10000000,2020-06-22,2005-08-03,3500000,185.71,22.3425066,114.1806516
104,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,2,B,0,403,11356000,2020-06-19,,0,0.0,22.330969,114.18579
105,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 1,2019-09-29,L,,,3,D,0,651,19198000,2020-06-18,,0,0.0,22.330961,114.18567
106,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,1,C,0,228,6825000,2020-06-17,,0,0.0,22.330969,114.18579
107,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,H,1,,7,D,0,278,8647000,2020-06-16,,0,0.0,22.330969,114.18579
108,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,1,D,0,242,7493000,2020-06-16,,0,0.0,22.330969,114.18579
109,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,2,D,0,278,7992000,2020-06-12,,0,0.0,22.330969,114.18579
110,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,2,C,0,265,7745000,2020-06-12,,0,0.0,22.330969,114.18579
111,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,3,A,0,616,17792000,2020-06-12,,0,0.0,22.330969,114.18579
112,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,3,D,0,278,8157000,2020-06-11,,0,0.0,22.330969,114.18579
113,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,La Salle Residence,La Salle Residence,2018-06-13,L,,,7,F,0,306,7968000,2020-06-10,,0,0.0,22.32613,114.18214
114,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Jade Court,Block D,1977-05-03,,3,,G,D2,0,653,9900000,2020-06-10,2016-08-29,7100000,39.44,22.342662999999998,114.18217
115,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Kent Court,Block 1,1985-06-28,H,3,2,10,B,1459,1274,26280000,2020-06-08,,0,0.0,22.327507,114.18024
