,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
117,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Estoril Court,Block 1,1983-08-26,L,3,,7,A,3347,2888,68500000,2020-06-10,2006-12-11,25800000.0,165.5,22.275494,114.155385
118,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 1,1977-09-12,L,,,5,D,0,890,13800000,2020-06-10,2015-12-10,11800000.0,16.95,22.274134,114.17223
119,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Monticello,Block D,1969-08-11,H,3,,16,,1329,1107,22800000,2020-06-09,2004-04-02,3000000.0,660.0,22.274573999999998,114.168251
120,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Man Yuen Garden,Man Yuen Garden,1971-01-12,H,,,10,,2000,1669,36500000,2020-06-09,2007-11-09,17500000.0,108.57000000000001,22.27442,114.1685226
121,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,South Garden Mansion,South Garden Mansion,1960-05-22,L,,,2,,0,1348,32000000,2020-06-08,,0.0,0.0,22.275807999999998,114.160559
122,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Bowen Place,Bowen Place,1989-02-15,H,,,17,A,1945,1445,50000000,2020-06-08,2007-03-06,20500000.0,143.9,22.273822,114.164488
123,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hoover Court,Hoover Court,1980-05-29,M,,,13,,2654,2320,60180000,2020-06-08,2010-04-09,28000000.0,114.93,22.2760415,114.156539
124,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Wing Way Court,Wing Way Court,1989-12-29,H,,,24,,1860,1478,28500000,2020-06-08,2016-08-05,20700000.0,37.68,22.273773,114.171974
125,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,St. Louis Mansion,St. Louis Mansion,1993-05-20,M,0,,10,A,0,314,7500000,2020-06-03,2009-07-28,3950000.0,89.87,22.275555999999998,114.156828
126,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Royal Court,Royal Court,1995-07-21,H,,,33,D,0,636,16180000,2020-06-03,2014-08-27,11800000.0,37.12,22.275067999999997,114.16818
127,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Tregunter,Tower 3,1993-11-11,M,3,,37,A,0,1602,43580000,2020-06-03,2011-03-03,30000000.0,45.27,22.274673,114.152627
128,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,May Tower,Block 1,1974-07-04,H,,,16,2,0,2218,86000000,2020-06-02,2004-02-09,17560000.0,389.75,22.273471,114.153996
